"Time","ankleAngleVel","kneeAngleVel","HipAngleVel","MetheadVel.X","MetheadVel.Z","heelVel.Z","lateralMalleoleiVel.Z","kneeMarkerVel.Z","hipMarkerVel.Z","footRotationAngle","hipAbdAdd","ankleAngle","kneeAngle","hipFlex","trunk.X","hip.X","knee.X","lateralMalleolei.X","heel.X","Methead.X","trunk.Y","hip.Y","knee.Y","lateralMalleolei.Y","heel.Y","Methead.Y","trunk.Z","hip.Z","knee.Z","lateralMalleolei.Z","heel.Z","Methead.Z"
0.46,-40.34,-411.99,-340,0.7956,-0.4057,-0.4811,-0.5109,-0.672,-0.1473,-25.99,140.2,-14.1,27.8,139.6,480.74,469.73,573.09,606.12,603.17,662.22,303.64,299.61,250.16,243.73,247.87,219.09,406.07,358.72,222.66,75.74,48.79,46.92
0.465,-17.59,-295.16,-342.9,0.629,-0.4737,-0.4887,-0.5203,-0.6252,-0.1538,-26.1,141.7,-14.2,25.9,141.2,484.27,473.86,575.06,609.46,606.38,665.52,302.9,298.86,251.84,245.48,249.84,220.87,405.57,357.99,219.08,73.35,46.28,44.92
0.47,9.02,-164.72,-316.43,0.4603,-0.5113,-0.4906,-0.5291,-0.5748,-0.1521,-26.25,143.1,-14.3,24.7,142.7,488.07,478.25,577.41,612.19,608.53,668,302.21,297.99,253.6,248.14,252.17,222.83,405.03,357.23,216.1,70.86,43.83,42.3
0.475,22.09,-48.69,-294.55,0.3103,-0.5001,-0.4791,-0.5437,-0.5291,-0.1494,-26.84,144.1,-14.1,24.3,143.9,491.7,482.43,580.21,613.75,609.92,669.62,301.64,297.19,255.48,251.29,255.45,225.25,404.37,356.56,213.6,68.18,41.28,39.15
0.48,38.43,33.21,-234.86,0.1864,-0.4547,-0.4422,-0.5333,-0.4869,-0.1455,-27.04,145.1,-13.9,24.5,144.8,495.64,486.79,582.92,614.47,610.59,670.45,300.81,296.68,257.31,255.36,258.58,228.03,403.6,355.82,211.54,65.21,38.72,35.5
0.485,96.27,87.85,-219.11,0.103,-0.4035,-0.3929,-0.4979,-0.4523,-0.144,-27.27,146.2,-13.7,24.9,146,499.44,491.28,586.02,614.59,610.75,670.54,300.21,295.98,259.19,258.77,261.69,230.87,402.83,355.09,209.63,62.18,36.09,31.47
0.49,225.35,135.44,-187.25,0.0408,-0.3593,-0.3377,-0.4449,-0.4214,-0.1434,-27.35,146.6,-13.5,25.3,146.5,503.64,495.53,589.12,614.3,610.25,670.15,299.45,295.2,260.99,260.46,264.65,233.67,402.03,354.2,207.82,59.05,33.32,27.48
0.495,327.81,123.62,-153.91,-0.0025,-0.3083,-0.2834,-0.3968,-0.3938,-0.1408,-27.23,147.6,-12.2,26,147.4,507.27,499.79,592.32,613.67,608.93,669.07,298.62,294.83,262.97,263.06,267.3,236.35,401.23,353.43,206.02,56.16,30.95,25.01
0.5,375.2,91.58,-147.76,-0.0276,-0.2441,-0.2277,-0.3399,-0.3566,-0.14,-27.22,147.9,-9.4,27.2,147.8,511.14,503.74,595.42,612.14,607.64,668.07,297.77,294.28,264.73,266.07,269.84,238.76,400.4,352.76,204.13,53.14,29.45,24.69
0.505,306.46,18.02,-137.07,-0.0357,-0.1702,-0.174,-0.2759,-0.3061,-0.1381,-27.01,148.5,-7.2,27.4,148.4,514.94,507.73,598.34,612,606.78,667.35,296.92,293.31,266.39,267.17,271.77,240.9,399.57,352.15,202.17,51.4,29.01,25.8
